"","district","indicator","value","category","unit","source1","source2"
"441","Kurram Agency","Actual Beneficiaries Relative To District Population",39.3826417005492,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"442","Lahore","No Of Eligible Beneficiaries",486946,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"443","Lahore","Amount Deposited In Accounts",5843.352,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"444","Lahore","No Of Beneficiaries Paid",411640,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"445","Lahore","Amount Withdrawn",4996.2035,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"446","Lahore","Share Of Actual To Eligible Beneficiaries",84.5350408464183,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"447","Lahore","Eligible Beneficiaries Relative To District Population",20.9737122932956,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"448","Lahore","Actual Beneficiaries Relative To District Population",17.7301362541477,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"449","Lakki Marwat","No Of Eligible Beneficiaries",104099,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"450","Lakki Marwat","Amount Deposited In Accounts",1249.188,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"451","Lakki Marwat","No Of Beneficiaries Paid",93561,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"452","Lakki Marwat","Amount Withdrawn",1129.004,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"453","Lakki Marwat","Share Of Actual To Eligible Beneficiaries",89.8769440628632,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"454","Lakki Marwat","Eligible Beneficiaries Relative To District Population",79.6025574632004,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"455","Lakki Marwat","Actual Beneficiaries Relative To District Population",71.5443460438092,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"456","Larkana","No Of Eligible Beneficiaries",182940,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"457","Larkana","Amount Deposited In Accounts",2195.28,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"458","Larkana","No Of Beneficiaries Paid",167312,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"459","Larkana","Amount Withdrawn",2022.005,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"460","Larkana","Share Of Actual To Eligible Beneficiaries",91.457308407128,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"461","Larkana","Eligible Beneficiaries Relative To District Population",53.3576608776549,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"462","Larkana","Actual Beneficiaries Relative To District Population",48.7994804677063,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"463","Las Bela","No Of Eligible Beneficiaries",64774,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"464","Las Bela","Amount Deposited In Accounts",777.288,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"465","Las Bela","No Of Beneficiaries Paid",57727,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"466","Las Bela","Amount Withdrawn",699.845,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"467","Las Bela","Share Of Actual To Eligible Beneficiaries",89.120634822614,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"468","Las Bela","Eligible Beneficiaries Relative To District Population",53.878585108559,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"469","Las Bela","Actual Beneficiaries Relative To District Population",48.0169370821901,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"470","Layyah","No Of Eligible Beneficiaries",185445,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"471","Layyah","Amount Deposited In Accounts",2225.34,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"472","Layyah","No Of Beneficiaries Paid",170367,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"473","Layyah","Amount Withdrawn",2066.032,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"474","Layyah","Share Of Actual To Eligible Beneficiaries",91.8692873897921,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"475","Layyah","Eligible Beneficiaries Relative To District Population",50.2027150812414,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"476","Layyah","Actual Beneficiaries Relative To District Population",46.1208765954642,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"477","Lehri","No Of Eligible Beneficiaries",2662,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"478","Lehri","Amount Deposited In Accounts",31.944,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"479","Lehri","No Of Beneficiaries Paid",2430,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"480","Lehri","Amount Withdrawn",29.16,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"481","Lehri","Share Of Actual To Eligible Beneficiaries",91.2847483095417,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"482","Lehri","Eligible Beneficiaries Relative To District Population",NA,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"483","Lehri","Actual Beneficiaries Relative To District Population",NA,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"484","Lodhran","No Of Eligible Beneficiaries",145182,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"485","Lodhran","Amount Deposited In Accounts",1742.184,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"486","Lodhran","No Of Beneficiaries Paid",128206,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"487","Lodhran","Amount Withdrawn",1547.099,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"488","Lodhran","Share Of Actual To Eligible Beneficiaries",88.307090410657,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"489","Lodhran","Eligible Beneficiaries Relative To District Population",42.2253357929261,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"490","Lodhran","Actual Beneficiaries Relative To District Population",37.2879654548628,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"491","Loralai","No Of Eligible Beneficiaries",28314,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"492","Loralai","Amount Deposited In Accounts",339.768,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"493","Loralai","No Of Beneficiaries Paid",24650,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"494","Loralai","Amount Withdrawn",301.92075,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"495","Loralai","Share Of Actual To Eligible Beneficiaries",87.0594052412234,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"496","Loralai","Eligible Beneficiaries Relative To District Population",38.3643680489409,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"497","Loralai","Actual Beneficiaries Relative To District Population",33.3997906479619,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"498","Lower Dir","No Of Eligible Beneficiaries",89043,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"499","Lower Dir","Amount Deposited In Accounts",1068.516,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"500","Lower Dir","No Of Beneficiaries Paid",76586,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"501","Lower Dir","Amount Withdrawn",933.2,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"502","Lower Dir","Share Of Actual To Eligible Beneficiaries",86.0101299372214,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"503","Lower Dir","Eligible Beneficiaries Relative To District Population",43.7417761328358,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"504","Lower Dir","Actual Beneficiaries Relative To District Population",37.6223584887005,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"505","Malakand PA","No Of Eligible Beneficiaries",61212,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"506","Malakand PA","Amount Deposited In Accounts",734.544,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"507","Malakand PA","No Of Beneficiaries Paid",52190,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"508","Malakand PA","Amount Withdrawn",632.82075,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"509","Malakand PA","Share Of Actual To Eligible Beneficiaries",85.2610599228909,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"510","Malakand PA","Eligible Beneficiaries Relative To District Population",51.315961427242,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"511","Malakand PA","Actual Beneficiaries Relative To District Population",43.7525326224884,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"512","Mandi Bahauddin","No Of Eligible Beneficiaries",81979,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"513","Mandi Bahauddin","Amount Deposited In Accounts",983.748,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"514","Mandi Bahauddin","No Of Beneficiaries Paid",68139,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"515","Mandi Bahauddin","Amount Withdrawn",826.809,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"516","Mandi Bahauddin","Share Of Actual To Eligible Beneficiaries",83.1176276851389,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"517","Mandi Bahauddin","Eligible Beneficiaries Relative To District Population",24.8159799049879,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"518","Mandi Bahauddin","Actual Beneficiaries Relative To District Population",20.6264537838467,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"519","Mansehra","No Of Eligible Beneficiaries",180412,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"520","Mansehra","Amount Deposited In Accounts",2164.944,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"521","Mansehra","No Of Beneficiaries Paid",149513,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"522","Mansehra","Amount Withdrawn",1819.08275,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"523","Mansehra","Share Of Actual To Eligible Beneficiaries",82.8730904817861,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"524","Mansehra","Eligible Beneficiaries Relative To District Population",58.0450365771985,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"525","Mansehra","Actual Beneficiaries Relative To District Population",48.1037156828075,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"526","Mardan","No Of Eligible Beneficiaries",207138,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"527","Mardan","Amount Deposited In Accounts",2485.656,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"528","Mardan","No Of Beneficiaries Paid",176680,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"529","Mardan","Amount Withdrawn",2143.81125,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"530","Mardan","Share Of Actual To Eligible Beneficiaries",85.2957931427358,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"531","Mardan","Eligible Beneficiaries Relative To District Population",50.8280441857462,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"532","Mardan","Actual Beneficiaries Relative To District Population",43.3541834271724,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"533","Mastung","No Of Eligible Beneficiaries",12570,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"534","Mastung","Amount Deposited In Accounts",150.84,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"535","Mastung","No Of Beneficiaries Paid",10291,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"536","Mastung","Amount Withdrawn",124.419,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"537","Mastung","Share Of Actual To Eligible Beneficiaries",81.8695306284805,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"538","Mastung","Eligible Beneficiaries Relative To District Population",24.8207192481934,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"539","Mastung","Actual Beneficiaries Relative To District Population",20.3206063471088,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"540","Matiari","No Of Eligible Beneficiaries",105102,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"541","Matiari","Amount Deposited In Accounts",1261.224,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"542","Matiari","No Of Beneficiaries Paid",98225,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"543","Matiari","Amount Withdrawn",1186.337,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"544","Matiari","Share Of Actual To Eligible Beneficiaries",93.4568324104204,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"545","Matiari","Eligible Beneficiaries Relative To District Population",56.1158425841174,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"546","Matiari","Actual Beneficiaries Relative To District Population",52.4440889595339,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"547","Mianwali","No Of Eligible Beneficiaries",127255,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"548","Mianwali","Amount Deposited In Accounts",1527.06,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"549","Mianwali","No Of Beneficiaries Paid",110765,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"550","Mianwali","Amount Withdrawn",1356.1395,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"551","Mianwali","Share Of Actual To Eligible Beneficiaries",87.0417665317669,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"552","Mianwali","Eligible Beneficiaries Relative To District Population",40.5838866461514,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"553","Mianwali","Actual Beneficiaries Relative To District Population",35.3249318640601,"Ehsaas Cash Total","(%)","indicator: Actual Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"554","Mirpur Khas","No Of Eligible Beneficiaries",199166,"Ehsaas Cash Total","","indicator: Number of beneficiaries eligible for cash support","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"555","Mirpur Khas","Amount Deposited In Accounts",2389.992,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) deposited in accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"556","Mirpur Khas","No Of Beneficiaries Paid",184510,"Ehsaas Cash Total","","indicator: Number of beneficiaries paid","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"557","Mirpur Khas","Amount Withdrawn",2219.9225,"Ehsaas Cash Total","(million Rs)","indicator: Amount (million Rs.) withdrawn from accounts","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"558","Mirpur Khas","Share Of Actual To Eligible Beneficiaries",92.6413142805499,"Ehsaas Cash Total","(%)","indicator: Share Of Actual To Eligible Beneficiaries","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
"559","Mirpur Khas","Eligible Beneficiaries Relative To District Population",53.4123810488281,"Ehsaas Cash Total","(%)","indicator: Eligible Beneficiaries Relative To District Population - adj for family size as per BISP/PASS criterion and population growth","Category: Ehsaas cash total includes Category I, Category II, Category III, Category III-A, Category IV, Category V"
